,Tweet Number,News Organization,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score
0,0,@BBC,A wild banana that may hold the key to protecting the world's edible banana crop has been put on the extinction lis… https://t.co/iU8sxtarEw,0.0,0.0,0.0,1.0
1,1,@BBC,"There she goes! 🚢 🌊

The RRS Sir David Attenborough - the UK's polar ship known to some as Boaty McBoatface - is la… https://t.co/bYll3hTWpa",0.0,0.0,0.0,1.0
2,2,@BBC,"RT @bbctennis: Meghan Markle has arrived!

The crowd shouted her name as she made her way to Centre Court. She waved 👋

💻📱 https://t.co/Xg5…",0.0,0.0,0.0,1.0
3,3,@BBC,"We all know a hipster restaurant that's taken things a bit too far... 🙄😂 

https://t.co/0N3WTRIUVu",0.0,0.0,0.0,1.0
4,4,@BBC,"RT @1Xtra: Tonight 9pm @Drake x @CharlieSloth 🔥🦂

#DrakeFITB https://t.co/LpqcF10QvH",0.0,0.0,0.0,1.0
5,5,@BBC,Sue Barker presents live coverage of Angelique Kerber vs Serena Williams in the women's singles final from Wimbledo… https://t.co/hFtwDO5Ma3,0.0,0.0,0.0,1.0
6,6,@BBC,"😲The man with world's longest fingernails has had them cut off after 66 years. 

https://t.co/FmC6KX7ZKP",-0.2732,0.0,0.13,0.87
7,7,@BBC,"RT @CBeebiesHQ: Look WHO is in for tonight's #BedtimeStory ⏳🌀

@Pearlie_mack reads Ellie's Magic Wellies 📖

@bbcdoctorwho

@AmySparkes

@Ea…",0.1027,0.076,0.0,0.924
8,8,@BBC,"This model was bitten by a shark while posing for a photo on holiday. 😮🦈
https://t.co/hQ5q69tVBZ https://t.co/TMYfQlnwto",0.4019,0.162,0.0,0.838
9,9,@BBC,"Meet the 8-year-old yoga expert who is winning national and international prizes. 🧘‍♂️

https://t.co/Rn4flrc6vh",0.7506,0.348,0.0,0.652
10,10,@BBC,"“It’s a love museum – just maybe upside down"". 💔

Welcome to the museum preserving the memories of broken hearts. 👉… https://t.co/KK5pBeeWWE",0.6249,0.274,0.118,0.608
11,11,@BBC,"71 years after her death, the UK's forgotten astronomer Annie Maunder is finally getting some recognition. ☄🔭🌠

https://t.co/fjWUaZC4zQ",-0.7003,0.0,0.266,0.734
12,12,@BBC,"Gary Barlow and his ten-piece band perform songs including Greatest Day, Back for Good and Rule the World against t… https://t.co/xAcRAKlkmn",0.7964,0.272,0.0,0.728
13,13,@BBC,"The world's greatest classical musical festival is back! 🎶🎻👏 @bbcproms 2018

First Night of the Proms | 8:30pm |… https://t.co/JKCkC5EMMs",0.8268,0.312,0.0,0.688
14,14,@BBC,"RT @BBCSport: This is some semi-final.

Watch Kevin Anderson and John Isner live on @BBCTwo and online.

https://t.co/gmKgD0Vwbx https://t.…",0.0,0.0,0.0,1.0
15,15,@BBC,"When someone gets sassy but you've got a killer comeback... 😂👏 @robbrydon #WILTY

https://t.co/cmdBgsfTm1",-0.7876,0.0,0.331,0.669
16,16,@BBC,"The best time to plant a tree was 20 years ago. The second best time is now. 🌳

Eight Chinese proverbs to help with… https://t.co/zqSO489S8G",0.9022,0.357,0.0,0.643
17,17,@BBC,"When your colleagues ask why you need to leave work at 5pm on the dot... 🍷💃

#FridayFeeling #Versailles https://t.co/Tmba34H72w",-0.0516,0.0,0.062,0.938
18,18,@BBC,RT @BBCNews: Downton Abbey film finally confirmed https://t.co/VcQvk7lFJb,0.0,0.0,0.0,1.0
19,19,@BBC,"""I can't pay you, but you can use the photos in your portfolio."" 🙄  

Every photographer can relate to this. 

https://t.co/AIriphAyym",0.0382,0.057,0.0,0.943
